,0,1,2,source
354,my mother believed it was okay admirable,even to have friends who were not white,but that you wouldn't want to marry them,img2poems
355,and if you did then you shouldn't have children,with them because then your children,would be discriminated against,img2poems
356,as if it would be a mistake to have our,children be darker when we spent,all this time becoming white,img2poems
357,it was okay with her in a way when my,daughter was born because she looked,like she could be white,img2poems
358,since he hid in his cloths,bunches of mint and thyme,and a damascene lilac,img2poems
359,draggling the tail of the cat,and eating from the grape vine,and snipping from the lilac,img2poems
360,notes,komori is a generic term that consists of a noun ko  and a verb moru  japanese use it to refer to any person male or female old or young who takes care of children,like their european counterparts nursemaids and nannies komori began to appear in what michel foucault has called the discourse of power in the late nineteenth century,img2poems
361,this vine bore many blossoms which were years,their petals red with joy or bleached by tears,waved to and fro i' the winds of hopes and fears,img2poems
362,here all men clung each hanging by his spray,anon one dropped his neighbor 'gan to pray,and so they clung and dropped and prayed alway,img2poems
363,but i did mark one lately-opened bloom,wherefrom arose a visible perfume,that wrapped me in a cloud of dainty gloom,img2poems
364,may all that cling to sprays of time like me,be sweetly wafted over sky and sea,by rose-breaths shrining maidens like to thee,img2poems
365,then while we sat upon the height afar,came twilight like a lover late from war,with soft winds fluting to his evening star,img2poems
366,and the shy stars grew bold and scattered gold,and chanting voices ancient secrets told,and an acclaim of angels earthward rolled,img2poems
367,if i were damned of body and soul,i know whose prayers would make me whole,mother o' mine o mother o' mine,img2poems
368,we the women of one country,will be too tender of those of another country,to allow our sons to be trained to injure theirs,img2poems
369,but most of all i hope this,birthday's better than the,rest,img2poems
370,attempts utterance,throws up happy spit,and hunger's renewed,img2poems
371,it appeared that god had spoken,there was no school that day,no movies for months after,img2poems
372,i swam through a gulf of evergreen billows,i ascended from the brine to the sight of splendid willows,all prosaic things became sanctified,img2poems
373,rubies and rings i presented to the queen,in jeweled velvet boxes neatly tied,and in alcoves near the river i witnessed the unseen,img2poems
374,my heart bleeds for the dead,in paris terror attacks that spread,and opened the can of human hatred,img2poems
375,bhopal,nov,jan,img2poems
376,i was asked to write a poem,as if i could make the muse child,sit still be quiet and obey,img2poems
377,k,a,ceri naz,img2poems
378,as to the eye: it remained invalid and now has a cataract,it can see gods and spirits in its cloud,and the weird end of the world: the left one's for common daylight,img2poems
379,oh valkyrie,oh valkyrie,ein seig you coming on,img2poems
380,or i guess the grass is itself a child,the produced babe,of the vegetation,img2poems
381,o i perceive after all so many uttering tongues,and i perceive they do not come from the roofs of mouths,for nothing,img2poems
382,what do you think has become of the young and old men,what do you think has become of the women and,children,img2poems
383,i sit there,and listen,and write,img2poems
384,over and over eating the low root,of the asphodel,gray fate,img2poems
385,as dawn rises thru the light morning mist,sun beams deliver their radiance and warmth,and caress autumn leaves with a gentle kiss,img2poems
386,gold and crimson autumn leaves,like snowflakes fall,and so must we all,img2poems
387,no i would like to drop a hint,i do not want to be a part of the pageant,a splendid spectacle or an enchanting ensemble,img2poems
388,here was no soul's cheat friends were of love over there,how past thought returning sweet,yet the soldier must dare,img2poems
389,on new year's day,i long to meet my parents,as they were before my birth,img2poems
390,the room is full of shadow you can hear indistinctly the sad soft whispering of two children,their foreheads lean forward still heavy with dreams beneath the long white bed-curtain,which shudders and rises,img2poems
391,ii,but the little children beneath the swaying curtain talk in low voices as one does on a dark night,thoughtfully they listen as to a far-off murmur,img2poems
392,iii,your heart has understood:  these children are motherless,no mother in the place any more,img2poems
393,an old servant woman then has taken them under her care,the little ones are alone in the icy house four-year-old orphans see how in their thoughts,little by little a smiling memory awakes,img2poems
394,the earth half-bare happy to be alive again trembles with joy beneath the sun's kisses,in the old home all is warm and flushed: no longer are there mourning garments strewn on the floor,and the draught has at least ceased to moan under the door,img2poems
395,it is two silvery plaques black and white,glittering with mother-of-pearl and jet little black frames and wreaths of glass,with three words engraved in gold: 'to our mother,img2poems
396,i write fiend for friend,and word for world,remember comes out with an m missing,img2poems
397,my ghosts,they drag my soul away,from my invisible havens,img2poems
398,my ghosts,they may fade hopefully,when another day is dawning,img2poems
399,oh the shadows intertwined,oh the corporeal shadows united with the shadows of the souls,oh the seeking shadows in those nights of sorrows and of tears,img2poems
400,i know you cannot hear me,but perhaps right now you are feeling,a strange restlessness,img2poems
401,why you might be a wasn't,a wasn't has no fun at all,no he doesn't,img2poems
402,how can thy be so self-righteous and stick to one thing,a stupid man said: if you don't cheat you don't lead,how can i be so self-centered and so ambiguous,img2poems
