,0,1,2,haiku,lang
818,more piercing,in the autumn mist,the blackbird's song,"more piercing
in the autumn mist
the blackbird's song",en
820,asleep,a golden dot on her ear,bus forty one,"asleep
a golden dot on her ear
bus forty one",en
822,emptied fountain,carried by the autumn wind,silt scent,"emptied fountain
carried by the autumn wind
silt scent",en
826,the silence,of the april rain,after the shower,"the silence
of the april rain
after the shower",en
841,back to school --,still a bit of high tide,near sand dunes,"back to school --
still a bit of high tide
near sand dunes",en
846,around the moon,"slowly, the haze",above the crickets,"around the moon
slowly, the haze
above the crickets",en
848,watching the moon,moving behind the oak,Summer wind,"watching the moon
moving behind the oak
Summer wind",en
852,autumn freshness,nourishing a child,of eighty years old,"autumn freshness
nourishing a child
of eighty years old",en
854,saturday morning,under the japanese cherrytree,a pink puddle,"saturday morning
under the japanese cherrytree
a pink puddle",en
856,the Big Dipper,moving on the water,spring rain,"the Big Dipper
moving on the water
spring rain",en
858,spring night,we're chatting peacefully,near the violets,"spring night
we're chatting peacefully
near the violets",en
861,ex-girlfriend,with a baby carriage,spring rain,"ex-girlfriend
with a baby carriage
spring rain",en
864,tonight,a moorhen perturbing,the great bear,"tonight
a moorhen perturbing
the great bear",en
866,first snow,a loser teenager dead,from an overdose,"first snow
a loser teenager dead
from an overdose",en
868,new moon,nothing else on the lake,than the calls of the moorhens,"new moon
nothing else on the lake
than the calls of the moorhens",en
870,low clouds --,listening to the snow,sleepless night,"low clouds --
listening to the snow
sleepless night",en
872,apple pie scents,my dead grandmother cooking,in a photo album,"apple pie scents
my dead grandmother cooking
in a photo album",en
874,haïku,written in the underground,unreadable,"haïku
written in the underground
unreadable",en
876,friday evening,the silence of the office,on my keyboard,"friday evening
the silence of the office
on my keyboard",en
877,after the fireworks,he marvels,at the moon,"after the fireworks
he marvels
at the moon",en
880,5 o' clock am,behind the thick fog,fresh bread scents,"5 o' clock am
behind the thick fog
fresh bread scents",en
882,in the rear-view mirror,the loving look of the mother,her reciting daughter,"in the rear-view mirror
the loving look of the mother
her reciting daughter",en
883,in the empty schoolyard,only plastic bags,are going the rounds,"in the empty schoolyard
only plastic bags
are going the rounds",en
886,the smell of her hands,on the neck of the bottle,drinking greedily,"the smell of her hands
on the neck of the bottle
drinking greedily",en
888,a pen in a hand,she's counting the empty bottles,I'm counting her assets,"a pen in a hand
she's counting the empty bottles
I'm counting her assets",en
891,opening the window,and smelling the white lilac,bloomed last night,"opening the window
and smelling the white lilac
bloomed last night",en
893,late season,christmas lights illuminate,a golden buddha,"late season
christmas lights illuminate
a golden buddha",en
895,"a hint of blue, still",in the passing of these clouds,— sip of coffee,"a hint of blue, still
in the passing of these clouds
— sip of coffee",en
896,bedtime --,trying not to count,maimed solders,"bedtime --
trying not to count
maimed solders",en
898,indian summer,the viagra stock,deflates,"indian summer
the viagra stock
deflates",en
900,pregnant again . . .,the fluttering of moths,against the window,"pregnant again . . .
the fluttering of moths
against the window",en
902,for a moment,the gull in the air,is very white,"for a moment
the gull in the air
is very white",en
904,"Fly,",be afraid!,No Buddhists in this house!,"Fly,
be afraid!
No Buddhists in this house!",en
906,spring breeze--,between pages of an old book,a crushed rose,"spring breeze--
between pages of an old book
a crushed rose",en
908,veteran's day,photo of the uncle,I never met,"veteran's day
photo of the uncle
I never met",en
910,the cries,of homecoming geese,louder,"the cries
of homecoming geese
louder",en
912,pale overcast,the darker shadow,of returning geese ,"pale overcast
the darker shadow
of returning geese ",en
913,my wife,home from hospital,hibiscus in full bloom,"my wife
home from hospital
hibiscus in full bloom",en
915,My 72nd winter,the deepening cold,in every room ,"My 72nd winter
the deepening cold
in every room ",en
917,month-old obit,of an ex-girl friend,unexpected rain,"month-old obit
of an ex-girl friend
unexpected rain",en
919,back and forth,across our conversation,fireflies,"back and forth
across our conversation
fireflies",en
921,death watch ended,the rain storm,begins,"death watch ended
the rain storm
begins",en
923,my wife,home from the hospital,hibiscus in full bloom,"my wife
home from the hospital
hibiscus in full bloom",en
925,at opposite ends,of the reading room,ex-lovers,"at opposite ends
of the reading room
ex-lovers",en
927,despite my assurances,my wife's makeup,thicker,"despite my assurances
my wife's makeup
thicker",en
929,somewhere,behind the old barn,end of the rainbow,"somewhere
behind the old barn
end of the rainbow",en
931,thunderstorms,all day long,broken promises,"thunderstorms
all day long
broken promises",en
933,hot chocolate,the scent stronger,this cold night,"hot chocolate
the scent stronger
this cold night",en
935,late night rain,the crickets finally,silent,"late night rain
the crickets finally
silent",en
937,nothing,in our bedroom,but moonlight ,"nothing
in our bedroom
but moonlight ",en
939,sunset traffic,slowly down the hill,into darkness,"sunset traffic
slowly down the hill
into darkness",en
941,at the crossroads,no wind to give,a direction,"at the crossroads
no wind to give
a direction",en
943,smalltown street,sunset and moonrise,at opposite ends,"smalltown street
sunset and moonrise
at opposite ends",en
945,slow afternoon,the rain changes,to drizzle,"slow afternoon
the rain changes
to drizzle",en
947,home alone,the cold,of an autumn rain ,"home alone
the cold
of an autumn rain ",en
949,silent night,the fog thick,at every window,"silent night
the fog thick
at every window",en
951,late night traffic,the swirl of leaves after,the last bus,"late night traffic
the swirl of leaves after
the last bus",en
955,while making love,the last icicle,falls,"while making love
the last icicle
falls",en
957,bad news from home,the cold morning,colder still,"bad news from home
the cold morning
colder still",en
959,voices,in the cemetery,remembrance day,"voices
in the cemetery
remembrance day",en
961,after the argument,the storm clouds also,break up,"after the argument
the storm clouds also
break up",en
963,pouring rain,yet another question,without an answer,"pouring rain
yet another question
without an answer",en
965,graveside sermon ended,the last leaves blown from,a nearby tree,"graveside sermon ended
the last leaves blown from
a nearby tree",en
967,63 today,nothing from here to the horizon,but fair weather clouds,"63 today
nothing from here to the horizon
but fair weather clouds",en
969,start of a new season,a book loaned,to a new friend,"start of a new season
a book loaned
to a new friend",en
972,right after,morning prayers,distant thunder,"right after
morning prayers
distant thunder",en
974,mountain storm,somewhere during its echo,the thunder ends,"mountain storm
somewhere during its echo
the thunder ends",en
976,60 today,the full moon,still rising,"60 today
the full moon
still rising",en
978,somewhere,in the graveyard,birdsong,"somewhere
in the graveyard
birdsong",en
980,also,in the fog,the scent of autumn,"also
in the fog
the scent of autumn",en
982,cold dark night,the warmth of her hand,in mine,"cold dark night
the warmth of her hand
in mine",en
984,snow and rain mixed,my angry words,and her tears,"snow and rain mixed
my angry words
and her tears",en
986,death,of an old friend,my cup empty,"death
of an old friend
my cup empty",en
988,behind the man,in the open doorway,nothing but darkness,"behind the man
in the open doorway
nothing but darkness",en
990,the gap,between the mountains,filled with fog,"the gap
between the mountains
filled with fog",en
992,grain silos,long shadows,on fresh snow,"grain silos
long shadows
on fresh snow",en
996,rusted wire,on a weatherworn post,wisps of gray fur ,"rusted wire
on a weatherworn post
wisps of gray fur ",en
997,backyard BBQ,at the end of his rope,a barking dog ,"backyard BBQ
at the end of his rope
a barking dog ",en
998,remembering summer,how brittle the leaves,underfoot,"remembering summer
how brittle the leaves
underfoot",en
1000,summer rain,the smell of earth,in the air,"summer rain
the smell of earth
in the air",en
1002,watching clouds,the white petals,of a crushed crocus,"watching clouds
the white petals
of a crushed crocus",en
1004,smells of spring,adrift in the morning air,bubbles under ice,"smells of spring
adrift in the morning air
bubbles under ice",en
1006,after the rain,moon and stars,underfoot,"after the rain
moon and stars
underfoot",en
1021,70 mph,the infant snores,a bit slower,"70 mph
the infant snores
a bit slower",en
1023,winter night,finding my pajama bottoms,on my wife,"winter night
finding my pajama bottoms
on my wife",en
1025,putting a cork,in last night's wine,late autumn,"putting a cork
in last night's wine
late autumn",en
1027,the glass jar,full of fireflies,bedtime,"the glass jar
full of fireflies
bedtime",en
1029,evening sky,counting some fireflies,more than once,"evening sky
counting some fireflies
more than once",en
1031,smell of rain -,soft ridges of mint leaves,oil my fingers,"smell of rain -
soft ridges of mint leaves
oil my fingers",en
1033,blackbird song -,the name of a daughter,i'll never know,"blackbird song -
the name of a daughter
i'll never know",en
