,0,1,2,source
329,""" So the hand of the child,","automatic, Slipped out and pocketed a",toy that was running along the quay.,gutenberg
330,I could see,nothing behind that,child's eye.,gutenberg
331,"Half-past three, The lamp","sputtered, The lamp muttered",in the dark.,gutenberg
332,She smooths,the hair of,the grass.,gutenberg
333,The moon,has lost her,memory.,gutenberg
334,The reminiscence comes Of sunless dry geraniums And,"dust in crevices, Smells of chestnuts in the streets And female smells in shuttered rooms",And cigarettes in corridors And cocktail smells in bars.,gutenberg
335,""" The lamp said, ""Four","o'clock, Here is the number",on the door.,gutenberg
336,"You have the key, The",little lamp spreads a ring,"on the stair, Mount.",gutenberg
337,The bed is open; the,"tooth-brush hangs on the wall, Put your shoes at the","door, sleep, prepare for life.",gutenberg
338,""" The last twist",of the,knife.,gutenberg
339,"They are rattling breakfast plates in basement kitchens,",And along the trampled edges of the street I am aware of the damp,souls of housemaids Sprouting despondently at area gates.,gutenberg
340,The readers of the Boston,Evening Transcript Sway in the wind,like a field of ripe corn.,gutenberg
341,""" Miss Helen Slingsby was my maiden","aunt, And lived in a small house near a fashionable square Cared",for by servants to the number of four.,gutenberg
342,Now when she died there was silence,in heaven And silence at her,end of the street.,gutenberg
343,The shutters were drawn and the undertaker,wiped his feet-- He was aware that this sort of,thing had occurred before.,gutenberg
344,The dogs were handsomely,"provided for, But shortly afterwards",the parrot died too.,gutenberg
345,"The Dresden clock continued ticking on the mantelpiece,",And the footman sat upon the dining-table Holding the second housemaid on his knees--,Who had always been so careful while her mistress lived.,gutenberg
346,Miss Nancy Ellicott Strode across the hills,"and broke them, Rode across the hills and broke them-- The barren New England",hills-- Riding to hounds Over the cow-pasture.,gutenberg
347,Miss Nancy Ellicott smoked And danced all the,modern dances; And her aunts were not quite sure how they felt,"about it, But they knew that it was modern.",gutenberg
348,Upon the glazen shelves kept watch,"Matthew and Waldo, guardians of the faith, The army",of unalterable law.,gutenberg
349,Apollinax visited,the United States His laughter tinkled,among the teacups.,gutenberg
350,"I thought of Fragilion, that shy figure","among the birch-trees, And of Priapus in the shrubbery Gaping",at the lady in the swing.,gutenberg
351,In the,palace of,Mrs.,gutenberg
352,"Phlaccus, at Professor",Channing-Cheetah's He laughed like an,irresponsible foetus.,gutenberg
353,I looked,for the head of,Mr.,gutenberg
354,Apollinax rolling under,a chair Or grinning over a screen,With seaweed in its hair.,gutenberg
355,I heard the beat of centaur's hoofs over,the hard turf As his dry and passionate talk,devoured the afternoon.,gutenberg
356,"""He is a","charming man""--""But after all",what did he mean?,gutenberg
357,"He must be unbalanced,""--","""There was something he said that",I might have challenged.,gutenberg
358,""" Of",dowager,Mrs.,gutenberg
359,"Phlaccus, and",Professor and,Mrs.,gutenberg
360,Cheetah I remember,"a slice of lemon, and a",bitten macaroon.,gutenberg
361,As she laughed I was aware of becoming involved,"in her laughter and being part of it, until her teeth were only",accidental stars with a talent for squad-drill.,gutenberg
362,"I was drawn in by short gasps, inhaled at each","momentary recovery, lost finally in the dark caverns","of her throat, bruised by the ripple of unseen muscles.",gutenberg
363,""" I decided that if the shaking of her breasts could be","stopped, some of the fragments of the afternoon might be collected, and I concentrated",my attention with careful subtlety to this end.,gutenberg
364,"I observe: ""Our",sentimental,friend the moon!,gutenberg
365,"Or possibly (fantastic, I confess) It may be Prester",John's balloon Or an old battered lantern hung aloft To,light poor travellers to their distress.,gutenberg
366,""" She then:","""How you",digress!,gutenberg
367,""" And I then: ""Some one frames upon the keys That","exquisite nocturne, with which we explain The night and moonshine; music which",we seize To body forth our vacuity.,gutenberg
368,""" She then:","""Does this refer",to me?,gutenberg
369,""" ""Oh no, it is",I who am,inane.,gutenberg
370,""" ""You, madam, are the eternal humorist,","The eternal enemy of the absolute, Giving",our vagrant moods the slightest twist!,gutenberg
371,With your air indifferent and,imperious At a stroke our mad poetics,"to confute--"" And--""Are we then so serious?",gutenberg
372,""" O quam te",memorem,Virgo.,gutenberg
373,I should find Some way incomparably,"light and deft, Some way we both should understand, Simple and",faithless as a smile and shake of the hand.,gutenberg
374,"She turned away, but with the autumn weather Compelled","my imagination many days, Many days and many hours:",Her hair over her arms and her arms full of flowers.,gutenberg
375,And I wonder,how they should have been,together!,gutenberg
376,I should,have lost a gesture,and a pose.,gutenberg
377,Sometimes these cogitations,still amaze The troubled midnight and,the noon's repose.,gutenberg
378,In winter I,"get up at night, And dress",by yellow candle light.,gutenberg
379,In summer quite the,"other way, I have to go",to bed by day.,gutenberg
380,I have to go to bed and see The,"birds still hopping on the tree, Or hear the grown-up people's","feet, Still going past me in the street.",gutenberg
381,"And does it not seem hard to you, When","all the sky is clear and blue, And I should like so much","to play, To have to go to bed by day?",gutenberg
382,"All night long and every night, When my",mamma puts out the light I see the people marching,"by, As plain as day, before my eye.",gutenberg
383,"Armies and emperors and kings, All","carrying different kinds of things, And marching in","so grand a way, You never saw the like by day.",gutenberg
384,So fine a show was never seen At,the great circus on the green; For every kind,beast and man Is marching in that caravan.,gutenberg
385,"At first they move a little slow, But still","the faster on they go, And still beside them close I",keep Until we reach the Town of Sleep.,gutenberg
386,Three of us afloat,in the meadow by,the swing.,gutenberg
387,Three of us,aboard in the basket,on the lea.,gutenberg
388,"Winds are in the air, they are blowing","in the spring, And waves are on the meadow",like the waves there are at sea.,gutenberg
389,"Where shall we adventure,","to-day that we're afloat, Wary of the weather",and steering by a star?,gutenberg
390,"Shall it be to Africa,","a-steering of the boat, To Providence, or","Babylon, or off to Malabar?",gutenberg
391,but here's a squadron,a-rowing on the sea-- Cattle on the,meadow a-charging with a roar!,gutenberg
392,"Quick, and we'll escape them, they're as","mad as they can be, The wicket is the harbor",and the garden is the shore.,gutenberg
393,The coach is at the door at last;,"The eager children, mounting fast And kissing hands,","in chorus sing: Good-bye, good-bye, to everything!",gutenberg
394,"To house and garden, field and lawn,","The meadow-gates we swung upon, To pump and stable, tree","and swing, Good-bye, good-bye, to everything!",gutenberg
395,"And fare you well for evermore, O","ladder at the hayloft door, O hayloft where the cobwebs","cling, Good-bye, good-bye, to everything!",gutenberg
396,"Crack goes the whip, and off we go; The","trees and houses smaller grow; Last, round the woody","turn we swing: Good-bye, good-bye, to everything!",gutenberg
397,"When I was sick and lay a-bed, I had","two pillows at my head, And all my toys beside me",lay To keep me happy all the day.,gutenberg
398,And sometimes for an hour or so,"I watched my leaden soldiers go, With different","uniforms and drills, Among the bed-clothes, through the hills.",gutenberg
399,And sometimes sent my ships in fleets All up,and down among the sheets; Or brought my trees and houses,"out, And planted cities all about.",gutenberg
400,I was the giant great and still That,"sits upon the pillow-hill, And sees before him, dale and",plain The pleasant Land of Counterpane.,gutenberg
401,Come up,"here, O",dusty feet!,gutenberg
402,The lights from the parlor and kitchen shone out Through the,blinds and the windows and bars; And high over head and all moving,"about, There were thousands of millions of stars.",gutenberg
403,We built a ship upon the stairs,"All made of the back-bedroom chairs, And filled it full of sofa pillows",To go a-sailing on the billows.,gutenberg
404,"We sailed along for days and days, And",had the very best of plays; But Tom fell out and hurt,"his knee, So there was no one left but me.",gutenberg
405,Bring the,comb and play upon,it!,gutenberg
406,"Marching,",here we,come!,gutenberg
407,Willie cocks,"his highland bonnet, Johnnie",beats the drum.,gutenberg
408,"Mary Jane commands the party,","Peter leads the rear; Feet in time, alert and","hearty, Each a Grenadier!",gutenberg
409,All in the most martial manner,Marching double-quick; While the napkin like a,banner Waves upon the stick!,gutenberg
410,Here's enough of fame,"and pillage, Great",commander Jane!,gutenberg
411,Now that we've been,"round the village, Let's go",home again.,gutenberg
412,Dark brown is,"the river, Golden",is the sand.,gutenberg
413,It flows along,"for ever, With trees on either",hand.,gutenberg
414,"Green leaves a-floating, Castles","of the foam, Boats of mine a-boating--",Where will all come home?,gutenberg
415,On goes the river And out,"past the mill, Away down the valley,",Away down the hill.,gutenberg
416,"Away down the river, A","hundred miles or more, Other little",children Shall bring my boats ashore.,gutenberg
417,Through all the pleasant meadow-side,"The grass grew shoulder-high, Till the shining scythes went far and",wide And cut it down to dry.,gutenberg
418,These green and sweetly smelling crops,They led in wagons home; And they piled them here,in mountain-tops For mountaineers to roam.,gutenberg
419,"Here is Mount Clear, Mount Rusty-Nail, Mount Eagle","and Mount High;-- The mice that in these mountains dwell,",No happier are than I!,gutenberg
420,"O what a joy to clamber there,","O what a place for play, With the sweet, the dim, the","dusty air, The happy hills of hay!",gutenberg
421,Whenever Auntie,moves around Her dresses make,a curious sound.,gutenberg
422,They trail behind,"her up the floor, And trundle",after through the door.,gutenberg
423,"The friendly cow all red and white,",I love with all my heart: She gives me cream with all,"her might, To eat with apple-tart.",gutenberg
