,0,1,2,haiku,lang
258,dusk--,the last whistle of something,as I turn on a reading light,"dusk--
the last whistle of something
as I turn on a reading light",en
259,crépuscule --,le dernier coup de sifflet de quelque chose,alors que j'allume une lampe de lecture ,"crépuscule --
le dernier coup de sifflet de quelque chose
alors que j'allume une lampe de lecture ",fr
260,airport window--,the cloud of my breath,as your plane reaches the clouds,"airport window--
the cloud of my breath
as your plane reaches the clouds",en
261,fenêtre d'aéroport --,le nuage de mon haleine,comme ton avion touche les nuages ,"fenêtre d'aéroport --
le nuage de mon haleine
comme ton avion touche les nuages ",fr
262,midnight moon--,afraid,to turn another page,"midnight moon--
afraid
to turn another page",en
263,lune de minuit --,avoir peur,de tourner une autre page ,"lune de minuit --
avoir peur
de tourner une autre page ",fr
264,in the no-name vine,bluebirds,at the red berries,"in the no-name vine
bluebirds
at the red berries",en
265,pour le vin sans nom,des oiseaux bleus,sur des baies rouges,"pour le vin sans nom
des oiseaux bleus
sur des baies rouges",fr
266,fresh snow--,the new neighbors,with all the porch lights on,"fresh snow--
the new neighbors
with all the porch lights on",en
267,neige fraiche --,les nouveaux voisins,toutes les lumières de l'entrée allumées,"neige fraiche --
les nouveaux voisins
toutes les lumières de l'entrée allumées",fr
268,night shift--,a quick break,to look at the stars...,"night shift--
a quick break
to look at the stars...",en
269,équipe de nuit --,une courte pause,pour regarder les étoiles...,"équipe de nuit --
une courte pause
pour regarder les étoiles...",fr
270,freeze warning--,light from the arc welder,brightens the night,"freeze warning--
light from the arc welder
brightens the night",en
271,avis de gel --,la lumière de l'arc du soudeur,éclaire la nuit,"avis de gel --
la lumière de l'arc du soudeur
éclaire la nuit",fr
272,freeze warning--,the need to pee,once we hit traffic,"freeze warning--
the need to pee
once we hit traffic",en
273,avis de gel --,le besoin de pisser,une fois dans le trafic,"avis de gel --
le besoin de pisser
une fois dans le trafic",fr
274,freeze warning--,just enough change,for coffee,"freeze warning--
just enough change
for coffee",en
275,avis de gel --,juste assez de monnaie,pour le café,"avis de gel --
juste assez de monnaie
pour le café",fr
276,freeze warning---,from the end of the bar,she looks back,"freeze warning---
from the end of the bar
she looks back",en
277,(avis de gel --,du fond du bar,elle retourne mon regard),"(avis de gel --
du fond du bar
elle retourne mon regard)",fr
278,freeze warning--,a couple of homeless guys,feeding seagulls,"freeze warning--
a couple of homeless guys
feeding seagulls",en
279,avis de gel --,un couple de sans-abris,nourrissent les mouettes,"avis de gel --
un couple de sans-abris
nourrissent les mouettes",fr
280,dust--,distant thunder,moves on,"dust--
distant thunder
moves on",en
281,(poussière --,un tonnerre distant,passe),"(poussière --
un tonnerre distant
passe)",fr
282,porn shop--,each cock,stares at her,"porn shop--
each cock
stares at her",en
283,sex shop --,chaque queue,la fixe,"sex shop --
chaque queue
la fixe",fr
284,scrabble dictionary--,lighting one candle,from another,"scrabble dictionary--
lighting one candle
from another",en
285,dictionnaire de scrabble --,j'allume une chandelle,avec une autre,"dictionnaire de scrabble --
j'allume une chandelle
avec une autre",fr
286,rusting nail--,the coffinmaker,talks of price,"rusting nail--
the coffinmaker
talks of price",en
287,un clou qui rouille --,le fabricant de cercueil,parle du prix,"un clou qui rouille --
le fabricant de cercueil
parle du prix",fr
288,labor day-,i dust of,my resume,"labor day-
i dust of
my resume",en
289,fête du travail --,je dépoussière,mon CV,"fête du travail --
je dépoussière
mon CV",fr
290,that fart,prayer fans,all sermon long,"that fart
prayer fans
all sermon long",en
291,thaw--,a winter moth struggles,against a spider thread,"thaw--
a winter moth struggles
against a spider thread",en
292,dégel --,un papillon d'hiver lutte,contre un fil d'araignée,"dégel --
un papillon d'hiver lutte
contre un fil d'araignée",fr
293,skylight-,a contrail crosses,her line of coke,"skylight-
a contrail crosses
her line of coke",en
294,tabatière--,une trainée d'avion croise,sa ligne de coke,"tabatière--
une trainée d'avion croise
sa ligne de coke",fr
295,antique store-,the ocean loud,in a seashell,"antique store-
the ocean loud
in a seashell",en
296,magasin d'antiquité --,l'océan sonore,dans un coquillage,"magasin d'antiquité --
l'océan sonore
dans un coquillage",fr
297,dusk--,songbirds' voices,disappear too,"dusk--
songbirds' voices
disappear too",en
298,crépuscule --,les cris d'oiseaux,disparaissent aussi,"crépuscule --
les cris d'oiseaux
disparaissent aussi",fr
299,indian summer-,rouging her cheeks,as she waits for a drink,"indian summer-
rouging her cheeks
as she waits for a drink",en
300,été indien --,elle farde ses joues,comme elle attend pour un verre,"été indien --
elle farde ses joues
comme elle attend pour un verre",fr
301,evening service --,light beams,into the night,"evening service --
light beams
into the night",en
302,messe du soir --,des faisceaux de lumière,dans la nuit,"messe du soir --
des faisceaux de lumière
dans la nuit",fr
303,food channel --,"between commercials,",dinner burns,"food channel --
between commercials,
dinner burns",en
304,canal cuisine --,"entre les réclames,",le dîner brûle,"canal cuisine --
entre les réclames,
le dîner brûle",fr
305,autumn,along the highway,buzzards wait,"autumn
along the highway
buzzards wait",en
306,automne --,le long de l'autoroute,les buses attendent,"automne --
le long de l'autoroute
les buses attendent",fr
307,evening shadows…,the things we deny,become more visible,"evening shadows…
the things we deny
become more visible",en
308,ombres du soir...,les choses que nous rejettons,deviennent plus visibles ,"ombres du soir...
les choses que nous rejettons
deviennent plus visibles ",fr
309,rain puddle . . .,a refugee child stirs,the cold moon,"rain puddle . . .
a refugee child stirs
the cold moon",en
310,flaque de pluie . . .,un enfant réfugié remue,la lune froide ,"flaque de pluie . . .
un enfant réfugié remue
la lune froide ",fr
311,wildflowers,in each clay pot,abandoned family garden,"wildflowers
in each clay pot
abandoned family garden",en
312,fleurs sauvages,dans chaque pot de terre cuite,le jardin familial abandonné ,"fleurs sauvages
dans chaque pot de terre cuite
le jardin familial abandonné ",fr
313,cold winter —,another patch,in the old blanket,"cold winter —
another patch
in the old blanket",en
314,hiver froid -,un patch de plus,dans la vieille couverture ,"hiver froid -
un patch de plus
dans la vieille couverture ",fr
315,withered peony,her love story,after menopause,"withered peony
her love story
after menopause",en
316,pivoine fanée,son histoire d'amour,après la ménopause ,"pivoine fanée
son histoire d'amour
après la ménopause ",fr
317,women’s day —,nothing has changed,except her Facebook status,"women’s day —
nothing has changed
except her Facebook status",en
318,jour de la femme —,rien n’a changé,sauf son statut Facebook ,"jour de la femme —
rien n’a changé
sauf son statut Facebook ",fr
319,climatic change —,under heavy snow,the refugee camp,"climatic change —
under heavy snow
the refugee camp",en
320,changement climatique —,sous une neige épaisse,le camp de réfugiés ,"changement climatique —
sous une neige épaisse
le camp de réfugiés ",fr
321,Glisser l'errata,dans les haïkus pour la Paix,- Lune presque pleine ,"Glisser l'errata
dans les haïkus pour la Paix
- Lune presque pleine ",fr
322,tramway bondé,à chaque station,un arbre en fleur ,"tramway bondé
à chaque station
un arbre en fleur ",fr
323,matin de brouillard...,je lave à la main,mon foulard blanc ,"matin de brouillard...
je lave à la main
mon foulard blanc ",fr
324,journée des retraites -,une mite s'emmêle,dans mes cheveux ,"journée des retraites -
une mite s'emmêle
dans mes cheveux ",fr
325,de la bourriche,l'écrevisse s'échappe...,pensée pour mon fils ,"de la bourriche
l'écrevisse s'échappe...
pensée pour mon fils ",fr
326,un peu avant l'aube,éolienne immobile,- vendredi saint,"un peu avant l'aube
éolienne immobile
- vendredi saint",fr
327,orange sanguine,en morceaux sur la table,après son départ ,"orange sanguine
en morceaux sur la table
après son départ ",fr
328,novembre ,le couteau heurte le vide ,de la meringue  ,"novembre 
le couteau heurte le vide 
de la meringue  ",fr
329,encore la nuit,je couds un petit accroc,en forme de coeur ,"encore la nuit
je couds un petit accroc
en forme de coeur ",fr
330,labour d'octobre,aux coudes aux cuisses,des fils de la vierge ,"labour d'octobre
aux coudes aux cuisses
des fils de la vierge ",fr
331,vingt ans de mariage,d'une orchidée à l'autre,un fil d'araignée ,"vingt ans de mariage
d'une orchidée à l'autre
un fil d'araignée ",fr
332,lundi de neige,pas encore effacés,les pas du facteur ,"lundi de neige
pas encore effacés
les pas du facteur ",fr
333,après la manif,elle dessine le plan,de son potager ,"après la manif
elle dessine le plan
de son potager ",fr
334,4 février -,sur le muret plus longtemps,la merlette ,"4 février -
sur le muret plus longtemps
la merlette ",fr
335,pleine lune,au réveil les champs ,tout blancs ,"pleine lune
au réveil les champs 
tout blancs ",fr
336,février,qui de lui ou la lune,m'a réveillée ? ,"février
qui de lui ou la lune
m'a réveillée ? ",fr
337,au couteau ouvrir ,les pages d'un livre de Haïku ,- soirée d'automne  ,"au couteau ouvrir 
les pages d'un livre de Haïku 
- soirée d'automne  ",fr
338,matin de brouillard,près des buissons l'odeur,de fleurs blanches ,"matin de brouillard
près des buissons l'odeur
de fleurs blanches ",fr
339,papier défraîchi -,tes mains fraîches sur mes hanches,- chambre quatre ,"papier défraîchi -
tes mains fraîches sur mes hanches
- chambre quatre ",fr
340,seule ce soir ,une goutte après l'autre ,quelque part  ,"seule ce soir 
une goutte après l'autre 
quelque part  ",fr
341,tas de repassage - ,dans la jupe de l'été ,trois pignons de pins  ,"tas de repassage - 
dans la jupe de l'été 
trois pignons de pins  ",fr
342,Entrée du bois -,débris de faïence WC,sous l'églantier en fleur,"Entrée du bois -
débris de faïence WC
sous l'églantier en fleur",fr
343,grêlons -,la pointe du sein,entre pouce et index,"grêlons -
la pointe du sein
entre pouce et index",fr
344,sieste -,ma main sur mon sein,la fuite des nuages,"sieste -
ma main sur mon sein
la fuite des nuages",fr
345,matin d'octobre -,sur la barque rouge,le héron,"matin d'octobre -
sur la barque rouge
le héron",fr
346,pendu par les pieds,le chevreuil dépecé,"plus loin, les perce-neiges","pendu par les pieds
le chevreuil dépecé
plus loin, les perce-neiges",fr
347,soleil levant,elle dessine sa bouche,dans le retro,"soleil levant
elle dessine sa bouche
dans le retro",fr
348,troisième jour d'école,dans son cartable si lourd,dix fois le silence,"troisième jour d'école
dans son cartable si lourd
dix fois le silence",fr
349,extrême onction,les ventres qui gargouillent,le merle dehors,"extrême onction
les ventres qui gargouillent
le merle dehors",fr
350,porte entrouverte -,les guirlandes s'illuminent,une seconde,"porte entrouverte -
les guirlandes s'illuminent
une seconde",fr
351,matin d'hiver -,gelée de myrtilles,mes seins si blancs ! ,"matin d'hiver -
gelée de myrtilles
mes seins si blancs ! ",fr
352,rue Saint Honoré,dégringolée de nulle part,la feuille de ginkgo,"rue Saint Honoré
dégringolée de nulle part
la feuille de ginkgo",fr
353,feux d'artifice...,crier de joie à la vue,du ver luisant,"feux d'artifice...
crier de joie à la vue
du ver luisant",fr
354,Juno Beach-,"mon corps dans la mer,",ma mère au bord,"Juno Beach-
mon corps dans la mer,
ma mère au bord",fr
355,rage de dents -,sur le toit les serres,des pigeons,"rage de dents -
sur le toit les serres
des pigeons",fr
356,"soir de mai,",les carottes sauvages dépassent,l'horizon,"soir de mai,
les carottes sauvages dépassent
l'horizon",fr
357,11 de Marzo -,"en el carril de enfrente,",silla de ruedas,"11 de Marzo -
en el carril de enfrente,
silla de ruedas",es
358,11 mars -,"dans l'autre sens,",le fauteuil,"11 mars -
dans l'autre sens,
le fauteuil",fr
359,"Dans la poubelle,",un exemplaire du Monde,encore frais,"Dans la poubelle,
un exemplaire du Monde
encore frais",fr
360,lune de janvier,la peau la plus fine,apparaît,"lune de janvier
la peau la plus fine
apparaît",fr
361,mélèze roux,herbe bleue -,l'aube,"mélèze roux
herbe bleue -
l'aube",fr
362,dans le velux,jambes enchevêtrées,et neige,"dans le velux
jambes enchevêtrées
et neige",fr
363,en el velux,piernas engarzadas,y nieve,"en el velux
piernas engarzadas
y nieve",es
364,pleine lune sans nuages,cinq doigts tambourinent,sur-une-chute-de-reins,"pleine lune sans nuages
cinq doigts tambourinent
sur-une-chute-de-reins",fr
365,rouge sang,dans les mâchoires de la benne,le dahlia,"rouge sang
dans les mâchoires de la benne
le dahlia",fr
366,sous l'épervier,faisant le Saint Esprit :,un tas de fumier,"sous l'épervier
faisant le Saint Esprit :
un tas de fumier",fr
367,Best Of Mac Donald,deux limaçons roux,sur une frite,"Best Of Mac Donald
deux limaçons roux
sur une frite",fr
368, chemin de l'école,deux vaches portent avec leurs cornes,le soleil," chemin de l'école
deux vaches portent avec leurs cornes
le soleil",fr
369,vamos al cole,dos vacas con sus cuernos,sostienen al sol,"vamos al cole
dos vacas con sus cuernos
sostienen al sol",es
